TIMESTAMP,MAKE,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1504701466491,fiat,palio,2012,1,n,car8,,,,,,,,,,,,,,,,,,,,,,26,10,3,9,2017
1504779304238,fiat,palio,2012,1,n,car8,,25,,,,,35,,,,26,,0,,-100%,,20%,MIL is OFF0 codes,,,,26,10,3,9,2017
1504779312247,fiat,palio,2012,1,n,car8,,26,,,,1331,41,,,,25,,0,,-100%,,19%,MIL is OFF0 codes,,0.11800000000000001,,26,10,3,9,2017
1504779320254,fiat,palio,2012,1,n,car8,,27,,,,1241,47,,,,26,,2,,-83%,,19%,MIL is OFF0 codes,,0.102,,26,10,3,9,2017
1504779328260,fiat,palio,2012,1,n,car8,,29,,,,1249,53,,,,26,,0,,-72%,,20%,MIL is OFF0 codes,,0.22,,26,10,3,9,2017
1504779336266,fiat,palio,2012,1,n,car8,,30,,0.059000000000000004,,1234,53,,,,26,,5,,-61%,,22%,MIL is OFF0 codes,,0.063,,26,10,3,9,2017
1504779344274,fiat,palio,2012,1,n,car8,,32,,,,1214,52,,,,26,,0,,-65%,,20%,MIL is OFF0 codes,,0.498,,26,10,3,9,2017
1504779352281,fiat,palio,2012,1,n,car8,,34,,0.059000000000000004,,1226,54,,,,26,,1,,-75%,,20%,MIL is OFF0 codes,,0.071,,26,10,3,9,2017
1504779360287,fiat,palio,2012,1,n,car8,,35,,0.059000000000000004,,1183,66,,,,27,,20,,-81%,,24%,MIL is OFF0 codes,,0.17600000000000002,,26,10,3,9,2017
1504779368292,fiat,palio,2012,1,n,car8,,36,,0.059000000000000004,,1263,35,,,,26,,24,,-100%,,22%,MIL is OFF0 codes,,0.204,,26,10,3,9,2017
