TIMESTAMP,MAKE,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1503358736190,honda,fit,2005,1.4,n,car3,,54,,0.41,,880,25,,,,42,,0,,0%,,13%,MIL is OFF0 codes,,0.561,,0,0,1,8,2017
1503358744203,honda,fit,2005,1.4,n,car3,,55,,0.41,,867,25,,,,42,,0,,-3%,,13%,MIL is OFF0 codes,,0.5489999999999999,,0,0,1,8,2017
1503358752228,honda,fit,2005,1.4,n,car3,,56,,0.41,,866,25,,,,42,,0,,-2%,,13%,MIL is OFF0 codes,,0.5529999999999999,,0,0,1,8,2017
1503358760243,honda,fit,2005,1.4,n,car3,,57,,0.41,,855,24,,,,42,,0,,0%,,13%,MIL is OFF0 codes,,0.5489999999999999,,0,0,1,8,2017
1503358768257,honda,fit,2005,1.4,n,car3,,57,,0.41,,846,24,,,,42,,0,,0%,,13%,MIL is OFF0 codes,,0.5529999999999999,,0,0,1,8,2017
1503358776275,honda,fit,2005,1.4,n,car3,,57,,0.41,,848,24,,,,42,,0,,1%,,13%,MIL is OFF0 codes,,0.541,,0,0,1,8,2017
1503358784289,honda,fit,2005,1.4,n,car3,,58,,0.41,,847,24,,,,42,,0,,2%,,13%,MIL is OFF0 codes,,0.537,,0,0,1,8,2017
1504394573969,honda,fit,2005,1.4,n,car3,,83,,0.41,,834,31,,,,37,,0,,-4%,,13%,MIL is OFF0 codes,,0.525,,6,22,5,9,2017
1504394581990,honda,fit,2005,1.4,n,car3,,83,,0.41,,734,33,,,,37,,0,,-2%,,14%,MIL is OFF0 codes,,0.47100000000000003,,6,22,5,9,2017
1504394590015,honda,fit,2005,1.4,n,car3,,83,,0.41,,749,30,,,,38,,0,,-2%,,13%,MIL is OFF0 codes,,0.514,,6,22,5,9,2017
1504394598040,honda,fit,2005,1.4,n,car3,,83,,0.41,,760,67,,,,37,,7,,-2%,,13%,MIL is OFF0 codes,,0.518,,6,22,5,9,2017
1504394606059,honda,fit,2005,1.4,n,car3,,83,,0.41,,1321,44,,,,35,,31,,-19%,,23%,MIL is OFF0 codes,,0.588,,6,22,5,9,2017
1504394614085,honda,fit,2005,1.4,n,car3,,83,,0.41,,1795,44,,,,36,,40,,-14%,,16%,MIL is OFF0 codes,,0.643,,6,22,5,9,2017
1504394622118,honda,fit,2005,1.4,n,car3,,83,,0.41,,1999,25,,,,36,,42,,13%,,18%,MIL is OFF0 codes,,0.753,,6,22,5,9,2017
1504394630145,honda,fit,2005,1.4,n,car3,,83,,0.41,,2075,20,,,,36,,43,,10%,,17%,MIL is OFF0 codes,,0.737,,6,22,5,9,2017
