TIMESTAMP,MAKE,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1503433389730,peugeot,208_allure,2015,1.6,s,car9,,76,,0.365,,771,49,,,,45,,0,,-3%,,12%,MIL is OFF0 codes,C0300,0.537,,26,19,1,8,2017
1503433397747,peugeot,208_allure,2015,1.6,s,car9,,76,,0.369,,777,49,,,,46,,0,,2%,,13%,MIL is OFF0 codes,C0300,0.5529999999999999,,26,19,1,8,2017
1503433405806,peugeot,208_allure,2015,1.6,s,car9,,76,,0.35700000000000004,,918,48,,,,46,,0,,-2%,,13%,MIL is OFF0 codes,C0300,0.655,,26,19,1,8,2017
1503433413811,peugeot,208_allure,2015,1.6,s,car9,,76,,0.373,,786,49,,,,46,,0,,0%,,13%,MIL is OFF0 codes,C0300,0.529,,13,22,1,8,2017
1503436270172,peugeot,208_allure,2015,1.6,s,car9,,66,,0.392,,803,51,,,,48,,0,,0%,,13%,MIL is OFF0 codes,C0300,0.529,,13,22,1,8,2017
1503436278196,peugeot,208_allure,2015,1.6,s,car9,,67,,0.408,,822,47,,,,48,,0,,0%,,13%,MIL is OFF0 codes,C0300,0.494,,13,22,1,8,2017
1503436286225,peugeot,208_allure,2015,1.6,s,car9,,68,,0.353,,769,61,,,,48,,0,,2%,,12%,MIL is OFF0 codes,C0300,0.541,,13,22,1,8,2017
1503436294272,peugeot,208_allure,2015,1.6,s,car9,,69,,0.494,,1168,67,,,,48,,10,,-1%,,14%,MIL is OFF0 codes,C0300,0.624,,13,22,1,8,2017
1503436302312,peugeot,208_allure,2015,1.6,s,car9,,71,,0.8270000000000001,,2012,94,,,,48,,28,,2%,,31%,MIL is OFF0 codes,C0300,0.608,,13,22,1,8,2017
1503436310347,peugeot,208_allure,2015,1.6,s,car9,,75,,0.69,,2576,59,,,,46,,41,,-4%,,24%,MIL is OFF0 codes,C0300,0.624,,13,22,1,8,2017
1503436318417,peugeot,208_allure,2015,1.6,s,car9,,78,,0.369,,2576,45,,,,46,,37,,2%,,15%,MIL is OFF0 codes,C0300,0.753,,13,22,1,8,2017
1503436326446,peugeot,208_allure,2015,1.6,s,car9,,81,,0.341,,2340,31,,,,46,,35,,4%,,15%,MIL is OFF0 codes,C0300,0.6940000000000001,,13,22,1,8,2017
1503436334485,peugeot,208_allure,2015,1.6,s,car9,,82,,0.22699999999999998,,1664,46,,,,47,,7,,-5%,,13%,MIL is OFF0 codes,C0300,0.561,,13,22,1,8,2017
1503436342497,peugeot,208_allure,2015,1.6,s,car9,,78,,0.38799999999999996,,1607,43,,,,47,,23,,11%,,16%,MIL is OFF0 codes,C0300,0.6779999999999999,,13,22,1,8,2017
1503436350531,peugeot,208_allure,2015,1.6,s,car9,,72,,0.21600000000000003,,1729,31,,,,47,,34,,-2%,,15%,MIL is OFF0 codes,C0300,0.655,,13,22,1,8,2017
1503436358590,peugeot,208_allure,2015,1.6,s,car9,,72,,0.204,,1806,31,,,,47,,32,,2%,,14%,MIL is OFF0 codes,C0300,0.518,,13,22,1,8,2017
1503436366619,peugeot,208_allure,2015,1.6,s,car9,,75,,0.22699999999999998,,1554,33,,,,47,,20,,-4%,,13%,MIL is OFF0 codes,C0300,0.5760000000000001,,13,22,1,8,2017
1503436374656,peugeot,208_allure,2015,1.6,s,car9,,76,,0.353,,843,51,,,,47,,0,,1%,,13%,MIL is OFF0 codes,C0300,0.49,,13,22,1,8,2017
1503436382700,peugeot,208_allure,2015,1.6,s,car9,,78,,0.392,,782,51,,,,46,,14,,-3%,,12%,MIL is OFF0 codes,C0300,0.529,,13,22,1,8,2017
1503436390739,peugeot,208_allure,2015,1.6,s,car9,,78,,0.33299999999999996,,995,57,,,,46,,15,,-6%,,13%,MIL is OFF0 codes,C0300,0.541,,13,22,1,8,2017
1503436398747,peugeot,208_allure,2015,1.6,s,car9,,78,,0.424,,904,51,,,,46,,0,,2%,,13%,MIL is OFF0 codes,C0300,0.518,,13,22,1,8,2017
1503436406787,peugeot,208_allure,2015,1.6,s,car9,,78,,0.38799999999999996,,794,50,,,,46,,0,,-1%,,12%,MIL is OFF0 codes,C0300,0.541,,13,22,1,8,2017
1503436414846,peugeot,208_allure,2015,1.6,s,car9,,77,,0.384,,782,49,,,,46,,0,,1%,,12%,MIL is OFF0 codes,C0300,0.541,,13,22,1,8,2017
1503436422864,peugeot,208_allure,2015,1.6,s,car9,,76,,0.38,,783,50,,,,47,,0,,1%,,12%,MIL is OFF0 codes,C0300,0.541,,13,22,1,8,2017
1503436430883,peugeot,208_allure,2015,1.6,s,car9,,75,,0.38,,777,61,,,,47,,9,,-4%,,12%,MIL is OFF0 codes,C0300,0.525,,13,22,1,8,2017
1503436438931,peugeot,208_allure,2015,1.6,s,car9,,74,,0.62,,2284,51,,,,46,,23,,2%,,18%,MIL is OFF0 codes,C0300,0.635,,13,22,1,8,2017
1503436446965,peugeot,208_allure,2015,1.6,s,car9,,74,,0.5489999999999999,,2056,32,,,,46,,23,,-2%,,15%,MIL is OFF0 codes,C0300,0.631,,13,22,1,8,2017
1503436455031,peugeot,208_allure,2015,1.6,s,car9,,75,,0.5329999999999999,,1646,32,,,,47,,23,,-4%,,18%,MIL is OFF0 codes,C0300,0.62,,13,22,1,8,2017
1503436463055,peugeot,208_allure,2015,1.6,s,car9,,75,,0.337,,1689,41,,,,47,,12,,2%,,13%,MIL is OFF0 codes,C0300,0.608,,13,22,1,8,2017
