TIMESTAMP,MAKE,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1500123584745,toyota,corolla,2009,1.8,s,car11,,,,,,,,,,,,,,,,,,,,,,33,17,5,7,2017
1500144034487,toyota,corolla,2009,1.8,s,car11,96,50,,0.4,,1173,,5.01,,,27,,11,,-8%,00:01:14,20%,MIL is OFF0 codes,,0.624,0.01,33,17,5,7,2017
1500144042493,toyota,corolla,2009,1.8,s,car11,96,50,,0.396,,1192,,4.9,,,27,,9,,-9%,00:01:20,20%,MIL is OFF0 codes,,0.639,0.01,33,17,5,7,2017
1500144050502,toyota,corolla,2009,1.8,s,car11,96,51,,0.46299999999999997,,927,,4.68,,,28,,0,,-4%,00:01:28,20%,MIL is OFF0 codes,,0.639,0.01,33,17,5,7,2017
1500144058514,toyota,corolla,2009,1.8,s,car11,96,53,,0.439,,982,,4.57,,,28,,6,,-13%,00:01:36,20%,MIL is OFF0 codes,,0.635,0.01,33,17,5,7,2017
1500144066524,toyota,corolla,2009,1.8,s,car11,96,54,,0.365,,1246,,4.62,,,28,,0,,-8%,00:01:44,20%,MIL is OFF0 codes,,0.62,0.01,33,17,5,7,2017
1500144074534,toyota,corolla,2009,1.8,s,car11,96,55,,0.45899999999999996,,901,,4.51,,,28,,0,,-9%,00:01:52,20%,MIL is OFF0 codes,,0.647,0.01,33,17,5,7,2017
1500144082545,toyota,corolla,2009,1.8,s,car11,96,56,,0.46299999999999997,,858,,4.25,,,28,,0,,-11%,00:02:00,19%,MIL is OFF0 codes,,0.624,0.01,33,17,5,7,2017
1500144090556,toyota,corolla,2009,1.8,s,car11,96,56,,0.44299999999999995,,926,,4.31,,,28,,7,,-9%,00:02:07,20%,MIL is OFF0 codes,,0.612,0.01,33,17,5,7,2017
1500144098565,toyota,corolla,2009,1.8,s,car11,96,58,,0.46299999999999997,,850,,4.23,,,28,,3,,-9%,00:02:15,20%,MIL is OFF0 codes,,0.639,0.01,33,17,5,7,2017
1500144106576,toyota,corolla,2009,1.8,s,car11,96,58,,0.353,,1144,,3.68,,,28,,0,,-6%,00:02:23,19%,MIL is OFF0 codes,,0.631,0.01,33,17,5,7,2017
1500144114583,toyota,corolla,2009,1.8,s,car11,96,59,,0.361,,917,,3.06,,,28,,0,,-6%,00:02:31,19%,MIL is OFF0 codes,,0.627,0.01,33,17,5,7,2017
1500144122594,toyota,corolla,2009,1.8,s,car11,96,60,,0.35700000000000004,,903,,3.04,,,28,,0,,-7%,00:02:39,19%,MIL is OFF0 codes,,0.624,0.01,33,17,5,7,2017
1500144130607,toyota,corolla,2009,1.8,s,car11,96,61,,0.40399999999999997,,1061,,5.43,,,28,,0,,-4%,00:02:47,20%,MIL is OFF0 codes,,0.6,0.01,33,17,5,7,2017
1500144138620,toyota,corolla,2009,1.8,s,car11,96,61,,0.451,,810,,3.68,,,28,,0,,-6%,00:02:55,19%,MIL is OFF0 codes,,0.627,0.01,33,17,5,7,2017
1500144146630,toyota,corolla,2009,1.8,s,car11,96,62,,0.451,,785,,3.53,,,28,,0,,-9%,00:03:03,19%,MIL is OFF0 codes,,0.624,0.01,33,17,5,7,2017
1500144154642,toyota,corolla,2009,1.8,s,car11,96,63,,0.627,,1579,,12.1,,,28,,11,,-6%,00:03:11,22%,MIL is OFF0 codes,,0.647,0.01,33,17,5,7,2017
1500144162646,toyota,corolla,2009,1.8,s,car11,96,63,,0.5529999999999999,,1268,,9.39,,,28,,10,,-8%,00:03:18,21%,MIL is OFF0 codes,,0.608,0.01,33,17,5,7,2017
1500144170654,toyota,corolla,2009,1.8,s,car11,96,65,,0.6940000000000001,,1679,,14.1,,,28,,21,,-1%,00:03:26,23%,MIL is OFF0 codes,,0.631,0.01,33,17,5,7,2017
1500144178667,toyota,corolla,2009,1.8,s,car11,96,66,,0.35700000000000004,,1366,,6.93,,,28,,22,,-6%,00:03:34,21%,MIL is OFF0 codes,,0.7140000000000001,0.01,33,17,5,7,2017
1500144186679,toyota,corolla,2009,1.8,s,car11,96,67,,0.5489999999999999,,1621,,10.65,,,28,,22,,-2%,00:03:42,22%,MIL is OFF0 codes,,0.722,0.01,33,17,5,7,2017
1500144194691,toyota,corolla,2009,1.8,s,car11,96,68,,0.314,,1183,,3.26,,,28,,23,,-2%,00:03:50,19%,MIL is OFF0 codes,,0.745,0.01,33,17,5,7,2017
1500144202698,toyota,corolla,2009,1.8,s,car11,96,70,,0.627,,1746,,13.93,,,28,,24,,0%,00:03:58,23%,MIL is OFF0 codes,,0.6709999999999999,0.01,33,17,5,7,2017
1500144210709,toyota,corolla,2009,1.8,s,car11,96,71,,0.392,,1535,,8.25,,,28,,27,,-2%,00:04:06,22%,MIL is OFF0 codes,,0.7290000000000001,0.01,33,17,5,7,2017
1500144218720,toyota,corolla,2009,1.8,s,car11,96,72,,0.42700000000000005,,1228,,5.59,,,28,,28,,-3%,00:04:14,20%,MIL is OFF0 codes,,0.682,0.01,33,17,5,7,2017
1500144226729,toyota,corolla,2009,1.8,s,car11,96,74,,0.35700000000000004,,1165,,4.71,,,28,,23,,-7%,00:04:21,19%,MIL is OFF0 codes,,0.698,0.01,33,17,5,7,2017
1500144234736,toyota,corolla,2009,1.8,s,car11,96,75,,0.89,,2070,,24.29,,,28,,27,,-9%,00:04:29,28%,MIL is OFF0 codes,,0.6,0.01,33,17,5,7,2017
1500144242746,toyota,corolla,2009,1.8,s,car11,96,76,,0.341,,1097,,5.12,,,28,,28,,-6%,00:04:37,20%,MIL is OFF0 codes,,0.706,0.01,33,17,5,7,2017
1500144250755,toyota,corolla,2009,1.8,s,car11,96,77,,0.38799999999999996,,1154,,7.6,,,28,,27,,-2%,00:04:45,22%,MIL is OFF0 codes,,0.682,0.01,33,17,5,7,2017
1500144258766,toyota,corolla,2009,1.8,s,car11,96,78,,0.5529999999999999,,1471,,7.87,,,28,,27,,-7%,00:04:53,21%,MIL is OFF0 codes,,0.71,0.01,33,17,5,7,2017
1500144266779,toyota,corolla,2009,1.8,s,car11,96,78,,0.341,,925,,2.95,,,28,,25,,1%,00:05:01,19%,MIL is OFF0 codes,,0.675,0.01,33,17,5,7,2017
1500144274787,toyota,corolla,2009,1.8,s,car11,96,80,,0.48200000000000004,,1369,,6.29,,,28,,32,,-9%,00:05:09,21%,MIL is OFF0 codes,,0.7290000000000001,0.01,33,17,5,7,2017
1500144282799,toyota,corolla,2009,1.8,s,car11,96,80,,0.322,,960,,2.96,,,29,,14,,-1%,00:05:17,19%,MIL is OFF0 codes,,0.7020000000000001,0.01,33,17,5,7,2017
1500144290810,toyota,corolla,2009,1.8,s,car11,96,81,,0.5489999999999999,,1824,,11.53,,,28,,26,,1%,00:05:25,22%,MIL is OFF0 codes,,0.737,0.01,33,17,5,7,2017
