TIMESTAMP,MAKE,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1499536487058,volkswagen,polo,2006,1.6,n,car6,,42,,0.063,,1659,24,,,Biodiesel_Ethanol,30,,43,,,,4%,MIL is OFF1 codes,P0133,0.7140000000000001,,53,18,5,7,2017
1499536499071,volkswagen,polo,2006,1.6,n,car6,,42,,0.067,,1290,26,,,Biodiesel_Ethanol,30,,35,,,,4%,MIL is OFF1 codes,P0133,0.69,,53,18,5,7,2017
1499536511089,volkswagen,polo,2006,1.6,n,car6,,43,,0.075,,1002,35,,,Biodiesel_Ethanol,31,,12,,,,4%,MIL is OFF1 codes,P0133,0.506,,53,18,5,7,2017
1499536523101,volkswagen,polo,2006,1.6,n,car6,,44,,0.055,,872,33,,,Biodiesel_Ethanol,30,,0,,,,4%,MIL is OFF1 codes,P0133,0.537,,53,18,5,7,2017
1499536535109,volkswagen,polo,2006,1.6,n,car6,,45,,0.051,,856,32,,,Biodiesel_Ethanol,30,,0,,,,3%,MIL is OFF1 codes,P0133,0.541,,53,18,5,7,2017
1499536547124,volkswagen,polo,2006,1.6,n,car6,,46,,0.055,,861,31,,,Biodiesel_Ethanol,30,,0,,,,3%,MIL is OFF1 codes,P0133,0.5489999999999999,,53,18,5,7,2017
1499536559131,volkswagen,polo,2006,1.6,n,car6,,48,,,,851,31,,,Biodiesel_Ethanol,31,,0,,,,3%,MIL is OFF1 codes,P0133,0.5760000000000001,,53,18,5,7,2017
1499536571138,volkswagen,polo,2006,1.6,n,car6,,48,,,,831,31,,,Biodiesel_Ethanol,31,,0,,,,3%,MIL is OFF1 codes,P0133,0.561,,53,18,5,7,2017
1499536583159,volkswagen,polo,2006,1.6,n,car6,,50,,0.051,,841,31,,,Biodiesel_Ethanol,31,,0,,,,3%,MIL is OFF1 codes,P0133,0.565,,53,18,5,7,2017
1499536595180,volkswagen,polo,2006,1.6,n,car6,,51,,0.09,,838,54,,,Biodiesel_Ethanol,31,,21,,,,8%,MIL is OFF1 codes,P0133,0.5760000000000001,,53,18,5,7,2017
